Method,Name,Error,Occurrences
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:10.614Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:54.671Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:11.566Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:45.211Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:11.570Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:00.525Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:45.501Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:44.503Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:25.472Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:24.705Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:25.839Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:35.288Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:22.179Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:18.819Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:36.271Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:44.302Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:17.445Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:48.923Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",2
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:41.059Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:30.871Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:44.530Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.720Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:28.249Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:08.642Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:45.650Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:32.893Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:57.483Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:23.946Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:58.539Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:41.670Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:45.585Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
