Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776768172,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776768173,10,,Aggregated,0.000000,0.000000,220,220,230,240,250,290,470,470,470,470,470,40,0,220.0,209.05432392519288,58.37441400035459,474.0687480007182,103.0
1776768174,20,,Aggregated,0.000000,0.000000,240,340,420,440,440,460,530,550,550,550,550,79,0,240.0,287.5032737975755,58.37441400035459,550.6725070008542,103.0
1776768175,30,,Aggregated,30.000000,0.000000,380,440,470,530,580,610,640,690,730,730,730,126,0,380.0,368.6998739921263,58.37441400035459,731.4261009996699,103.0
1776768176,40,,Aggregated,30.000000,0.000000,440,570,610,630,750,810,820,830,830,830,830,167,0,440.0,453.01220893415376,58.37441400035459,829.4249789996684,103.0
1776768177,50,,Aggregated,39.333333,0.000000,570,690,820,850,890,940,950,950,1200,1200,1200,216,0,560.0,553.7511093379585,58.37441400035459,1177.0461840005737,103.0
1776768178,60,,Aggregated,41.750000,0.000000,610,850,890,940,1100,1100,1100,1200,1200,1200,1200,257,0,610.0,634.3802434202106,58.37441400035459,1216.4043399989168,103.0
1776768179,60,,Aggregated,41.400000,0.000000,760,930,1000,1100,1300,1300,1300,1300,1400,1400,1400,306,0,750.0,733.5794474999888,58.37441400035459,1391.061078000348,103.0
1776768180,60,,Aggregated,42.500000,0.000000,850,1000,1100,1300,1300,1400,1500,1500,1500,1500,1500,346,0,850.0,807.7813040664641,58.37441400035459,1498.8962249990436,103.0
1776768181,60,,Aggregated,42.428571,0.000000,890,1100,1300,1300,1400,1500,1500,1500,1600,1600,1600,389,0,890.0,876.219845727496,58.37441400035459,1558.5857730002317,103.0
1776768182,60,,Aggregated,42.250000,0.000000,960,1300,1300,1300,1400,1500,1500,1500,1600,1600,1600,428,0,950.0,921.110740427563,58.37441400035459,1558.5857730002317,103.0
1776768183,60,,Aggregated,42.222222,0.000000,1000,1300,1300,1400,1500,1500,1600,1600,1800,1800,1800,459,0,1000.0,958.7156667799302,58.37441400035459,1793.6757169991324,103.0
1776768184,60,,Aggregated,42.222222,0.000000,1100,1300,1400,1400,1500,1600,1600,1700,1800,1800,1800,506,0,1100.0,1009.3457369387429,58.37441400035459,1793.6757169991324,103.0
1776768185,60,,Aggregated,42.600000,0.000000,1200,1300,1400,1400,1500,1600,1600,1700,2800,2800,2800,545,0,1200.0,1039.3632723596395,58.37441400035459,2757.809250999344,103.0
1776768186,60,,Aggregated,42.600000,0.000000,1300,1400,1400,1400,1500,1600,1600,1700,2800,2800,2800,588,0,1300.0,1067.349304386057,58.37441400035459,2757.809250999344,103.0
1776768187,60,,Aggregated,43.400000,0.000000,1300,1400,1400,1500,1500,1600,1600,1700,2800,2800,2800,630,0,1300.0,1089.4278137317403,58.37441400035459,2757.809250999344,103.0
1776768188,60,,Aggregated,42.500000,0.000000,1300,1400,1400,1500,1500,1600,1600,1700,2800,2800,2800,669,0,1300.0,1109.7309844215117,58.37441400035459,2757.809250999344,103.0
1776768189,60,,Aggregated,42.100000,0.000000,1300,1400,1400,1500,1500,1600,1600,1700,2800,2800,2800,708,0,1300.0,1132.3401777259803,58.37441400035459,2757.809250999344,103.0
