Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776769662,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776769663,10,,Aggregated,0.000000,0.000000,280,490,500,500,510,520,790,790,790,790,790,21,0,280.0,381.25927038094875,175.0015890000327,789.7439579999741,103.0
1776769664,20,,Aggregated,0.000000,0.000000,340,450,480,500,510,520,530,790,790,790,790,65,0,340.0,370.21644489230647,175.0015890000327,789.7439579999741,103.0
1776769665,30,,Aggregated,19.000000,0.000000,440,490,520,530,660,670,690,690,790,790,790,119,0,440.0,427.30228468907455,175.0015890000327,789.7439579999741,103.0
1776769666,40,,Aggregated,19.000000,0.000000,480,530,610,630,680,790,800,800,820,820,820,160,0,480.0,476.60497071249983,175.0015890000327,820.9708640000031,103.0
1776769667,50,,Aggregated,35.000000,0.000000,530,660,800,850,890,910,930,970,1000,1000,1000,210,0,520.0,572.6311495523804,175.0015890000327,1003.7637899999936,103.0
1776769668,60,,Aggregated,40.000000,0.000000,630,850,890,920,980,1000,1000,1100,1200,1200,1200,256,0,630.0,649.0710815585926,175.0015890000327,1165.799829999969,103.0
1776769669,60,,Aggregated,40.200000,0.000000,690,890,970,1000,1200,1300,1400,1400,1400,1400,1400,297,0,690.0,730.3470389966318,175.0015890000327,1400.4205510000247,103.0
1776769670,60,,Aggregated,41.166667,0.000000,860,980,1100,1200,1300,1300,1400,1500,1500,1500,1500,347,0,860.0,812.0123965648407,175.0015890000327,1521.976374000019,103.0
1776769671,60,,Aggregated,42.285714,0.000000,890,1100,1200,1200,1300,1300,1400,1500,1500,1500,1500,395,0,890.0,860.103998126581,175.0015890000327,1521.976374000019,103.0
1776769672,60,,Aggregated,42.250000,0.000000,960,1200,1200,1300,1300,1400,1500,1500,1500,1500,1500,442,0,960.0,905.1957229321257,175.0015890000327,1521.976374000019,103.0
1776769673,60,,Aggregated,42.888889,0.000000,1000,1200,1300,1300,1300,1400,1500,1500,1600,1600,1600,482,0,1000.0,944.5932747593355,175.0015890000327,1576.7709290000198,103.0
1776769674,60,,Aggregated,43.100000,0.000000,1100,1200,1300,1300,1400,1500,1500,1500,1600,1600,1600,520,0,1100.0,981.3629970615378,175.0015890000327,1647.2834780000198,103.0
1776769675,60,,Aggregated,45.400000,0.000000,1200,1300,1300,1300,1400,1500,1600,1600,1600,1600,1600,567,0,1200.0,1015.9833762663135,175.0015890000327,1647.2834780000198,103.0
