prefix,label,system,W,R,write_pct,read_pct,read_requests,write_requests,read_avg_ms,read_median_ms,read_p95_ms,read_p99_ms,read_max_ms,write_avg_ms,write_median_ms,write_p95_ms,write_p99_ms,write_max_ms,stale_reads,stale_rate_pct,avg_interval_ms,median_interval_ms,p95_interval_ms
leaderless_w5_r1_ratio_01_99,Leaderless W=5 R=1 01/99,Leaderless,5,1,1,99,20332,193,3.2954269768607904,2.0,8.0,27.0,97.34191605821252,1217.3635839820004,1206.6288751084358,1200.0,1300.0,1278.2652080059052,0,0.0,1885.3467466696025,1387.0,5413.25
leaderless_w5_r1_ratio_10_90,Leaderless W=5 R=1 10/90,Leaderless,5,1,10,90,7293,761,3.681516114449448,2.0,8.0,62.0,166.6137920692563,1230.3568902722243,1207.1332500781864,1300.0,1400.0,1391.535625094548,0,0.0,744.3234067897558,395.5,2631.25
leaderless_w5_r1_ratio_50_50,Leaderless W=5 R=1 50/50,Leaderless,5,1,50,50,2767,2791,3.632049515078004,3.0,8.0,16.0,71.26154191792011,1218.7282817577727,1207.2027921676636,1200.0,1300.0,1339.4682919606566,0,0.0,348.75934065934064,125.0,1487.7499999999986
leaderless_w5_r1_ratio_90_10,Leaderless W=5 R=1 90/10,Leaderless,5,1,90,10,341,3017,4.338322715325789,3.0,9.0,22.0,65.12141600251198,1223.707699478981,1207.8047080431134,1200.0,1300.0,1492.942166980356,0,0.0,256.8753623188406,119.0,1131.2
lf_w1_r5_ratio_01_99,LF W=1 R=5 01/99,Leader-Follower,1,5,1,99,13198,117,169.4761276995263,160.0,210.0,270.0,427.9803750105202,3.779909485935146,1.0,5.0,14.0,191.0325000062585,0,0.0,5589.637911947543,4377.0,15444.39999999999
lf_w1_r5_ratio_10_90,LF W=1 R=5 10/90,Leader-Follower,1,5,10,90,20829,2351,169.22383001039094,160.0,210.0,250.0,381.10179104842246,2.702213193934454,1.0,6.0,23.0,123.73450002633037,0,0.0,934.1708361397094,662.0,2617.75
lf_w1_r5_ratio_50_50,LF W=1 R=5 50/50,Leader-Follower,1,5,50,50,6993,7011,170.7494702115181,160.0,220.0,280.0,359.1375001706183,2.6256646825147563,1.0,6.0,32.0,123.31654108129442,0,0.0,265.7024935511608,218.0,518.1499999999996
lf_w1_r5_ratio_90_10,LF W=1 R=5 90/10,Leader-Follower,1,5,90,10,1767,16389,176.17963671491358,160.0,240.0,330.0,539.9154999759048,4.873248114685831,2.0,16.0,58.0,168.9737921115011,1,0.056593095642331635,196.30489073881373,175.0,293.0
lf_w3_r3_ratio_01_99,LF W=3 R=3 01/99,Leader-Follower,3,3,1,99,11044,110,85.19826329671868,100.0,110.0,140.0,243.81574988365173,607.5018272735178,610.0,630.0,640.0,648.0146660469472,0,0.0,3038.726024547535,2217.5,8813.200000000004
lf_w3_r3_ratio_10_90,LF W=3 R=3 10/90,Leader-Follower,3,3,10,90,15505,1655,84.42583719997641,100.0,110.0,120.0,165.68620782345533,606.3761070404438,610.0,610.0,630.0,666.440709028393,0,0.0,826.5350714663844,535.0,2508.0
lf_w3_r3_ratio_50_50,LF W=3 R=3 50/50,Leader-Follower,3,3,50,50,2835,2951,87.03835789061675,100.0,110.0,150.0,202.8634159360081,610.0285444171169,610.0,620.0,660.0,724.5712501462549,0,0.0,325.9616447823082,195.5,986.7499999999995
lf_w3_r3_ratio_90_10,LF W=3 R=3 90/10,Leader-Follower,3,3,90,10,623,5465,93.32167936816369,110.0,130.0,180.0,390.76087484136224,618.3262138612132,610.0,660.0,810.0,952.8910419903696,0,0.0,246.38817891373802,161.5,737.0
lf_w5_r1_ratio_01_99,LF W=5 R=1 01/99,Leader-Follower,5,1,1,99,121729,1224,3.785542942183532,2.0,10.0,29.0,250.94054196961224,1212.6989851565347,1204.1410421952603,1200.0,1300.0,1305.6796249002218,0,0.0,2316.3644859813085,1536.0,7123.0
lf_w5_r1_ratio_10_90,LF W=5 R=1 10/90,Leader-Follower,5,1,10,90,39107,4350,2.376668132646735,2.0,5.0,18.0,122.09895811975002,1214.5243350652463,1205.1064998377117,1200.0,1300.0,1333.7818749714645,0,0.0,639.0447140828708,362.0,2170.0
lf_w5_r1_ratio_50_50,LF W=5 R=1 50/50,Leader-Follower,5,1,50,50,3075,2789,4.001557224134847,3.0,9.0,23.0,116.54145806096494,1220.5809230827545,1206.7842499818653,1200.0,1300.0,1315.3392910026014,0,0.0,368.8089338115422,133.0,1529.0
lf_w5_r1_ratio_90_10,LF W=5 R=1 90/10,Leader-Follower,5,1,90,10,397,3185,4.577391921080443,4.0,10.0,17.0,45.32025009393692,1219.6088647080974,1205.9610411524773,1200.0,1300.0,1277.8292081784457,0,0.0,304.6725,122.0,1409.2999999999988
