timestamp_ms,key,delta_ms
1775448199064,key-31,752
1775448199617,key-44,38
1775448199659,key-32,340
1775448200073,key-44,494
1775448200319,key-32,34
1775448200642,key-45,57
1775448201083,key-29,496
1775448201325,key-4,39
1775448201895,key-13,303
1775448202097,key-49,180
1775448202134,key-39,43
1775448202207,key-47,46
1775448202332,key-17,260
1775448202333,key-39,242
1775448202349,key-41,47
1775448202382,key-32,273
1775448202582,key-12,39
1775448202632,key-17,560
1775448202872,key-4,95
1775448203079,key-30,528
1775448203112,key-7,1826
1775448203322,key-33,33
1775448203337,key-33,48
1775448203607,key-34,30
1775448204086,key-39,292
1775448204086,key-41,1784
1775448204118,key-48,36
1775448204135,key-39,341
1775448204157,key-48,75
1775448204438,key-35,32
1775448204469,key-21,900
1775448204567,key-3,13
1775448204607,key-50,75
1775448204854,key-26,322
1775448204884,key-44,70
1775448205335,key-31,1028
1775448205365,key-29,297
1775448205386,key-24,780
1775448205601,key-22,1823
1775448205644,key-34,47
1775448205646,key-30,59
1775448205771,key-34,174
1775448206343,key-30,48
1775448206574,key-11,21
1775448206585,key-33,42
1775448206810,key-6,186
1775448206864,key-13,29
1775448206920,key-5,31
1775448207162,key-41,1436
1775448207316,key-36,20
1775448207337,key-46,40
1775448207347,key-7,49
1775448207577,key-5,19
1775448207602,key-37,5
1775448207633,key-1,49
1775448207841,key-10,731
1775448207861,key-18,80
1775448208061,key-47,42
1775448208172,key-30,16
1775448208175,key-4,2111
1775448208282,key-39,228
1775448208347,key-15,62
1775448208382,key-41,14
1775448208438,key-10,559
1775448208574,key-34,743
1775448208629,key-38,497
1775448209095,key-26,84
1775448209408,key-4,24
1775448209515,key-6,109
1775448209782,key-41,190
1775448210077,key-45,65
1775448210078,key-45,66
1775448210377,key-16,59
1775448210517,key-4,162
1775448210609,key-17,1065
1775448210611,key-10,50
1775448210693,key-17,32
1775448210847,key-40,21
1775448210902,key-2,43
1775448211112,key-2,62
1775448211184,key-5,119
1775448211224,key-19,116
1775448211292,key-39,25
1775448211395,key-11,91
1775448211597,key-32,57
1775448211644,key-47,136
1775448211731,key-37,79
1775448211849,key-18,20
1775448211852,key-37,200
1775448212071,key-43,158
1775448212100,key-19,148
1775448212153,key-12,834
1775448212187,key-43,274
1775448212325,key-37,13
1775448212363,key-8,80
1775448212640,key-7,181
1775448212670,key-4,110
1775448212778,key-37,192
1775448212846,key-5,102
1775448212851,key-41,22
1775448213159,key-22,289
1775448213161,key-43,1248
1775448213310,key-22,152
1775448213315,key-47,46
1775448213419,key-19,44
1775448213466,key-46,180
1775448213589,key-27,191
1775448213591,key-17,147
1775448213622,key-41,276
1775448213672,key-18,1843
1775448213730,key-11,99
1775448213836,key-21,713
1775448214108,key-41,14
1775448214177,key-16,53
1775448214243,key-31,432
1775448214478,key-31,53
1775448214848,key-23,72
1775448214851,key-5,8
1775448214893,key-27,321
1775448214914,key-14,111
1775448214928,key-14,125
1775448215013,key-19,98
1775448215140,key-41,63
1775448215193,key-23,18
1775448215223,key-1,127
1775448215570,key-5,152
1775448215653,key-5,235
1775448215663,key-5,245
1775448215911,key-19,103
1775448215985,key-24,103
1775448216390,key-43,566
1775448216601,key-50,225
1775448216629,key-3,89
1775448216645,key-5,523
1775448216871,key-30,92
1775448216897,key-48,182
1775448217048,key-9,79
1775448217197,key-5,197
1775448217197,key-6,640
1775448217234,key-11,90
1775448217236,key-41,172
1775448217255,key-42,110
1775448217477,key-15,145
1775448217625,key-23,38
1775448217923,key-44,36
1775448218140,key-7,69
1775448218236,key-12,133
1775448218240,key-47,100
1775448218261,key-50,1885
1775448218346,key-13,178
1775448218349,key-14,492
1775448218450,key-50,45
1775448218641,key-20,69
1775448218660,key-6,57
1775448218742,key-43,29
1775448218763,key-33,152
1775448218805,key-43,92
1775448218883,key-13,50
1775448219123,key-28,9
1775448219172,key-21,2893
1775448219373,key-16,4
1775448219412,key-40,445
1775448219474,key-40,507
1775448219525,key-46,52
1775448219580,key-38,168
1775448219702,key-30,138
1775448219825,key-12,143
1775448219911,key-10,43
1775448219975,key-10,107
1775448220095,key-10,227
1775448220097,key-4,41
1775448220198,key-39,189
1775448220367,key-17,204
1775448220665,key-35,19
1775448220743,key-3,47
1775448220982,key-34,166
1775448221112,key-21,94
1775448221266,key-46,1793
1775448221344,key-22,128
1775448221376,key-4,87
1775448221425,key-11,28
1775448222005,key-38,25
1775448222095,key-17,1368
1775448222096,key-38,42
1775448222170,key-25,508
1775448222182,key-18,14
1775448222197,key-40,137
1775448222199,key-47,48
1775448222284,key-21,44
1775448222379,key-21,139
1775448222403,key-7,8
1775448222763,key-7,186
1775448223021,key-15,110
1775448223048,key-17,199
1775448223162,key-10,256
1775448223222,key-12,111
1775448223339,key-29,62
1775448223373,key-6,65
1775448223378,key-11,29
1775448223427,key-2,77
1775448223596,key-20,1019
1775448223660,key-14,131
1775448223690,key-14,161
1775448223691,key-49,444
1775448224067,key-41,228
1775448224078,key-8,34
1775448224163,key-12,207
1775448224190,key-5,523
1775448224771,key-29,56
1775448224773,key-40,713
1775448224823,key-17,38
1775448224837,key-3,222
1775448224944,key-9,268
1775448225107,key-46,187
1775448225185,key-46,265
1775448225590,key-4,272
1775448225637,key-2,274
1775448225756,key-43,1132
1775448225865,key-7,135
1775448226095,key-34,78
1775448226176,key-20,246
1775448226209,key-22,47
1775448226217,key-38,153
1775448226222,key-31,185
1775448226617,key-40,1448
1775448226671,key-30,7
1775448226673,key-14,313
1775448226733,key-41,160
1775448226877,key-15,227
1775448227069,key-25,120
1775448227388,key-42,1044
1775448227619,key-40,73
1775448227623,key-25,31
1775448227836,key-36,189
1775448227852,key-30,279
1775448227877,key-28,43
1775448227878,key-27,45
1775448227882,key-7,1449
1775448227932,key-16,920
1775448227967,key-1,86
1775448227971,key-27,138
1775448228011,key-15,31
1775448228071,key-15,91
1775448228102,key-38,47
1775448228157,key-38,102
1775448228533,key-4,189
1775448228766,key-43,346
1775448228772,key-33,413
1775448228846,key-8,27
1775448228868,key-43,448
1775448228988,key-11,203
1775448228996,key-8,177
1775448229115,key-40,35
1775448229166,key-42,220
1775448229187,key-26,5
1775448229331,key-38,50
1775448229427,key-25,20
1775448229430,key-20,113
1775448229551,key-25,144
1775448229573,key-16,24
1775448229609,key-49,162
1775448229692,key-41,34
1775448230144,key-43,10
1775448230264,key-6,136
1775448230439,key-27,8
1775448230452,key-13,49
1775448230606,key-27,175
1775448230982,key-44,86
1775448231216,key-18,284
1775448231353,key-1,49
1775448231603,key-3,119
1775448231646,key-25,163
1775448231697,key-2,245
1775448231732,key-29,104
1775448231745,key-49,117
1775448231992,key-18,71
1775448232306,key-19,116
1775448232479,key-50,220
1775448232676,key-42,1394
1775448233031,key-16,94
1775448233033,key-39,1304
1775448233036,key-2,245
1775448233153,key-39,1424
1775448233195,key-32,120
1775448233547,key-41,29
1775448233741,key-24,284
1775448233757,key-22,43
1775448233826,key-38,67
1775448233860,key-44,73
1775448233875,key-30,27
1775448233918,key-22,69
1775448233972,key-30,124
1775448234092,key-41,574
1775448234199,key-49,186
1775448234218,key-28,84
1775448234529,key-32,68
1775448234639,key-48,172
1775448234674,key-31,160
1775448234674,key-33,214
1775448234899,key-21,211
1775448234932,key-26,1128
1775448234998,key-27,59
1775448235010,key-23,441
1775448235036,key-10,136
1775448235085,key-18,70
1775448235094,key-5,135
1775448235352,key-34,300
1775448235431,key-12,27
1775448235487,key-28,240
1775448235546,key-3,33
1775448235855,key-49,145
1775448235892,key-13,41
1775448236108,key-42,39
1775448236392,key-17,175
1775448236395,key-40,568
1775448236411,key-4,47
1775448236432,key-14,6
1775448236559,key-3,149
1775448236744,key-25,896
1775448236788,key-30,125
1775448237003,key-27,216
1775448237013,key-28,1766
1775448237113,key-49,23
1775448237116,key-28,14
1775448237149,key-30,486
1775448237205,key-8,13
1775448237322,key-19,980
1775448237419,key-22,185
1775448237484,key-40,51
1775448237535,key-37,31
1775448237578,key-29,8
1775448237601,key-42,166
1775448238075,key-20,89
1775448238154,key-48,94
1775448238428,key-42,518
1775448238537,key-20,155
1775448238965,key-49,188
1775448239743,key-30,61
1775448239775,key-35,8
1775448239968,key-35,31
1775448240394,key-43,119
1775448240394,key-10,182
1775448240395,key-7,688
1775448240643,key-6,295
1775448240689,key-35,52
