timestamp_ms,key,delta_ms
1775447754525,key-39,164
1775447754553,key-7,177
1775447754574,key-34,258
1775447754592,key-43,231
1775447754610,key-40,170
1775447754722,key-29,314
1775447754880,key-17,229
1775447754880,key-35,193
1775447754881,key-12,177
1775447754982,key-39,251
1775447754995,key-12,291
1775447755080,key-18,321
1775447755179,key-22,173
1775447755189,key-33,195
1775447755190,key-34,354
1775447755195,key-6,389
1775447755351,key-33,221
1775447755384,key-18,195
1775447755391,key-10,181
1775447755400,key-23,651
1775447755477,key-24,158
1775447755478,key-31,439
1775447755478,key-17,214
1775447755503,key-32,226
1775447755548,key-21,162
1775447755552,key-42,158
1775447755567,key-39,181
1775447755635,key-11,192
1775447755635,key-17,158
1775447755656,key-45,220
1775447755657,key-37,254
1775447755661,key-32,204
1775447755677,key-31,638
1775447755686,key-17,206
1775447755735,key-25,167
1775447755739,key-27,305
1775447755752,key-31,178
1775447755804,key-11,280
1775447755811,key-45,188
1775447755811,key-22,392
1775447755957,key-40,178
1775447755998,key-17,211
1775447756019,key-21,179
1775447756040,key-1,196
1775447756051,key-30,166
1775447756061,key-9,163
1775447756073,key-27,220
1775447756086,key-28,176
1775447756103,key-42,165
1775447756104,key-32,183
1775447756133,key-36,161
1775447756136,key-11,324
1775447756178,key-4,165
1775447756211,key-2,198
1775447756244,key-37,188
1775447756256,key-29,408
1775447756314,key-38,269
1775447756389,key-43,189
1775447756394,key-23,233
1775447756418,key-43,182
1775447756425,key-10,348
1775447756463,key-38,210
1775447756489,key-23,280
1775447756507,key-23,164
1775447756572,key-27,177
1775447756581,key-46,179
1775447756593,key-36,163
1775447756594,key-16,158
1775447756599,key-23,172
1775447756652,key-24,173
1775447756655,key-5,168
1775447756658,key-8,182
1775447756665,key-3,224
1775447756698,key-29,174
1775447756698,key-29,174
1775447756698,key-18,181
1775447756711,key-47,286
1775447756747,key-2,205
1775447756767,key-4,194
1775447756839,key-19,162
1775447756852,key-31,165
1775447756905,key-31,218
1775447756906,key-11,248
1775447756918,key-32,211
1775447756919,key-17,211
1775447756927,key-50,162
1775447756934,key-22,163
1775447756941,key-20,160
1775447756952,key-34,224
1775447756957,key-49,211
1775447756957,key-11,180
1775447756962,key-5,367
1775447756976,key-7,175
1775447757036,key-36,182
1775447757057,key-19,209
1775447757073,key-37,167
1775447757093,key-7,225
1775447757099,key-18,206
1775447757110,key-8,166
1775447757110,key-3,176
1775447757136,key-4,183
1775447757231,key-45,181
1775447757248,key-7,170
1775447757251,key-43,179
1775447757256,key-27,214
1775447757278,key-43,206
1775447757307,key-27,265
1775447757332,key-20,158
1775447757335,key-22,564
1775447757354,key-39,167
1775447757379,key-37,235
1775447757389,key-35,174
1775447757400,key-27,164
1775447757418,key-20,212
1775447757418,key-7,340
1775447757458,key-19,178
1775447757476,key-8,173
1775447757476,key-9,167
1775447757486,key-14,156
1775447757508,key-49,331
1775447757509,key-29,159
1775447757510,key-25,176
1775447757519,key-29,169
1775447757527,key-2,173
1775447757536,key-47,170
1775447757564,key-35,179
1775447757565,key-7,167
1775447757570,key-34,159
1775447757587,key-30,162
1775447757591,key-35,156
1775447757614,key-45,196
1775447757636,key-43,245
1775447757657,key-32,215
1775447757661,key-15,178
1775447757677,key-29,160
1775447757688,key-13,177
1775447757692,key-3,210
1775447757701,key-41,168
1775447757703,key-34,160
1775447757722,key-34,179
1775447757744,key-3,167
1775447757746,key-28,169
1775447757751,key-7,243
1775447757758,key-9,169
1775447757761,key-16,240
1775447757764,key-6,212
1775447757769,key-6,217
1775447757792,key-32,180
1775447757797,key-5,175
1775447757828,key-16,159
1775447757833,key-36,156
1775447757835,key-44,160
1775447757837,key-2,221
1775447757893,key-19,216
1775447757899,key-34,159
1775447757905,key-34,165
1775447757905,key-19,228
1775447757922,key-48,163
1775447757932,key-48,358
1775447757944,key-6,392
1775447757985,key-23,177
1775447758002,key-29,202
1775447758013,key-5,171
1775447758026,key-29,158
1775447758026,key-32,217
1775447758051,key-5,209
1775447758075,key-34,243
1775447758171,key-1,212
1775447758172,key-10,213
1775447758177,key-14,234
1775447758178,key-23,217
1775447758179,key-27,175
1775447758180,key-16,346
1775447758180,key-45,195
1775447758223,key-46,162
1775447758226,key-45,164
1775447758232,key-29,364
1775447758233,key-35,186
1775447758283,key-10,197
1775447758287,key-45,225
1775447758357,key-21,250
1775447758358,key-28,291
1775447758379,key-41,286
1775447758390,key-19,189
1775447758413,key-34,176
1775447758418,key-41,173
1775447758445,key-49,182
1775447758469,key-41,183
1775447758477,key-21,240
1775447758487,key-2,171
1775447758489,key-17,251
1775447758506,key-8,323
1775447758519,key-2,166
1775447758532,key-41,171
1775447758536,key-13,176
1775447758537,key-20,224
1775447758558,key-29,214
1775447758564,key-3,161
1775447758606,key-17,211
1775447758611,key-38,157
1775447758614,key-23,193
1775447758622,key-14,163
1775447758627,key-7,210
1775447758638,key-47,268
1775447758640,key-18,163
1775447758657,key-26,181
1775447758659,key-49,166
1775447758665,key-26,162
